,LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
79429,5JHJ2RK747,19.0,60242.0,111796.0,657.0,20.0,3.0,22.86,24.0,0.45,PhD,Self-employed,Single,Yes,No,Home,Yes,1.0
79435,2CUP1A2B4T,41.0,74556.0,146157.0,448.0,0.0,4.0,15.17,36.0,0.51,Master's,Full-time,Single,No,No,Auto,Yes,1.0
79439,HIHGNE6RWE,29.0,46963.0,152470.0,300.0,48.0,1.0,11.42,48.0,0.42,PhD,Full-time,Married,No,No,Education,No,1.0
79440,8TTCI0FYP4,52.0,147580.0,93808.0,392.0,8.0,4.0,21.68,24.0,0.9,High School,Full-time,Divorced,No,No,Education,No,1.0
79443,ODXHTV4GSU,31.0,35425.0,152683.0,322.0,44.0,1.0,19.95,60.0,0.12,Master's,Full-time,Single,Yes,No,Education,No,1.0
79448,07NZA56LEG,56.0,42966.0,189863.0,647.0,57.0,3.0,15.07,60.0,0.27,High School,Part-time,Married,No,No,Home,No,1.0
79459,RF52DRCJZA,34.0,88660.0,93014.0,601.0,30.0,1.0,2.17,60.0,0.3,Bachelor's,Self-employed,Married,No,Yes,Auto,No,1.0
79465,M4YN2C1SJO,23.0,84489.0,127405.0,621.0,38.0,2.0,14.52,60.0,0.34,Bachelor's,Unemployed,Married,Yes,Yes,Education,Yes,1.0
79470,C91P7KEBY1,37.0,58172.0,53958.0,773.0,9.0,2.0,21.05,24.0,0.64,Bachelor's,Self-employed,Divorced,No,No,Education,Yes,1.0
79476,VLY6YCTV5T,18.0,102375.0,140343.0,365.0,116.0,1.0,2.66,60.0,0.36,High School,Self-employed,Single,No,No,Business,No,1.0
79483,JWSGRLMSU0,63.0,123896.0,171821.0,753.0,55.0,2.0,24.25,48.0,0.79,Bachelor's,Self-employed,Single,Yes,Yes,Auto,Yes,1.0
79485,L89BH9HJ0X,38.0,86459.0,44755.0,600.0,1.0,4.0,3.94,24.0,0.84,Master's,Unemployed,Married,No,Yes,Auto,Yes,1.0
79488,DS05NCJ93N,28.0,81214.0,235902.0,523.0,118.0,3.0,2.13,36.0,0.79,Bachelor's,Unemployed,Married,No,No,Business,No,1.0
79491,ELUOFR458V,18.0,113543.0,12174.0,825.0,4.0,4.0,19.47,48.0,0.16,PhD,Part-time,Divorced,Yes,Yes,Business,No,1.0
79492,HQCLR6JX02,50.0,64054.0,23767.0,824.0,27.0,2.0,16.24,12.0,0.6,High School,Unemployed,Divorced,No,Yes,Business,No,1.0
79495,K3030H802H,19.0,124306.0,57109.0,384.0,98.0,3.0,20.78,24.0,0.49,High School,Full-time,Single,Yes,No,Other,No,1.0
79496,K0PIAHZ7QS,21.0,56918.0,139330.0,793.0,70.0,1.0,16.71,24.0,0.4,Bachelor's,Self-employed,Married,Yes,Yes,Other,No,1.0
79499,4OXTL3F4VX,34.0,22661.0,134234.0,831.0,56.0,2.0,17.95,36.0,0.7,Master's,Full-time,Divorced,No,No,Auto,No,1.0
79508,FPHQNRO7PZ,44.0,105461.0,150604.0,498.0,105.0,4.0,21.39,12.0,0.85,Master's,Full-time,Single,No,No,Business,No,1.0
79513,GIO700FS4Q,42.0,57453.0,66465.0,319.0,18.0,4.0,3.66,60.0,0.24,High School,Unemployed,Divorced,No,Yes,Other,Yes,1.0
79515,RVS6K5JXSG,41.0,30643.0,206659.0,380.0,4.0,1.0,19.65,48.0,0.12,Bachelor's,Part-time,Married,Yes,Yes,Business,Yes,1.0
79519,CLSZWLGGGN,37.0,83904.0,64580.0,360.0,9.0,2.0,25.0,24.0,0.65,PhD,Full-time,Divorced,Yes,No,Auto,No,1.0
79522,9OMFLKE7HG,43.0,35736.0,175743.0,553.0,13.0,1.0,2.47,24.0,0.24,High School,Unemployed,Divorced,Yes,No,Other,Yes,1.0
79529,OKT0DD855J,21.0,52266.0,32434.0,651.0,50.0,3.0,19.44,60.0,0.47,High School,Unemployed,Married,Yes,No,Education,No,1.0
79571,BPJW3BV1XC,29.0,61251.0,222331.0,353.0,69.0,2.0,8.13,48.0,0.6,Master's,Part-time,Single,Yes,Yes,Other,No,1.0
79572,PO829Q7YAF,26.0,112337.0,137532.0,508.0,0.0,3.0,17.16,48.0,0.74,Master's,Self-employed,Single,Yes,No,Education,No,1.0
79582,SA6LH0NMEF,23.0,141924.0,39569.0,313.0,58.0,3.0,17.03,60.0,0.7,High School,Full-time,Single,Yes,No,Other,No,1.0
79591,TCPSWFNU6S,29.0,24046.0,217999.0,308.0,49.0,1.0,24.74,24.0,0.13,Bachelor's,Unemployed,Single,Yes,No,Other,Yes,1.0
79593,Y95BAYH48Z,36.0,30165.0,203506.0,552.0,118.0,3.0,5.19,60.0,0.84,Master's,Full-time,Divorced,Yes,No,Auto,Yes,1.0
79598,H8Z49LH5FD,40.0,108693.0,84910.0,465.0,96.0,3.0,15.18,60.0,0.49,High School,Part-time,Single,No,Yes,Other,No,1.0
79618,E3VWM29OXU,56.0,133326.0,163919.0,758.0,67.0,1.0,4.31,24.0,0.4,Master's,Self-employed,Married,No,No,Home,Yes,1.0
79621,FW02QM69JR,44.0,72754.0,124127.0,743.0,95.0,4.0,18.07,12.0,0.46,PhD,Part-time,Single,No,No,Other,No,1.0
79623,0GNDBCECI7,49.0,110131.0,85161.0,361.0,72.0,4.0,14.67,48.0,0.13,High School,Part-time,Single,No,No,Other,Yes,1.0
79634,FL96WYTFD2,18.0,144266.0,174992.0,598.0,73.0,1.0,24.94,48.0,0.19,High School,Unemployed,Single,No,No,Other,No,1.0
79642,MOOSFFH279,67.0,90081.0,60730.0,657.0,75.0,4.0,21.0,12.0,0.66,PhD,Unemployed,Single,No,Yes,Business,No,1.0
79644,TL0SS9QP87,46.0,118064.0,99609.0,780.0,83.0,1.0,17.22,60.0,0.3,High School,Full-time,Married,No,No,Home,Yes,1.0
79650,8IATDRAZG2,63.0,72671.0,219166.0,559.0,108.0,4.0,6.03,48.0,0.16,Master's,Self-employed,Married,No,Yes,Home,Yes,1.0
79656,LNMDMPSDX8,33.0,118666.0,249139.0,792.0,59.0,4.0,22.16,36.0,0.66,PhD,Unemployed,Married,No,No,Education,No,1.0
79675,5K74R9V4KJ,31.0,19314.0,90492.0,696.0,72.0,4.0,2.65,24.0,0.3,PhD,Full-time,Divorced,No,Yes,Other,Yes,1.0
79679,1PKEJO2VCR,23.0,37064.0,202988.0,395.0,39.0,4.0,19.9,60.0,0.73,Bachelor's,Unemployed,Divorced,Yes,No,Business,No,1.0
79694,9YA71JI2UQ,43.0,133120.0,46591.0,499.0,91.0,2.0,17.07,36.0,0.7,High School,Part-time,Divorced,Yes,No,Auto,No,1.0
79698,Q4ZEIF146X,41.0,38845.0,212735.0,521.0,104.0,4.0,12.41,24.0,0.12,High School,Unemployed,Married,No,Yes,Other,Yes,1.0
79701,JCB8F7EIKU,21.0,23789.0,37861.0,322.0,7.0,4.0,5.57,12.0,0.22,Bachelor's,Part-time,Divorced,No,No,Education,No,1.0
79707,VY4YGRCY1M,46.0,85899.0,68380.0,817.0,30.0,1.0,4.02,12.0,0.19,High School,Full-time,Divorced,Yes,No,Auto,Yes,1.0
79709,OLAKXQ8C16,61.0,16157.0,223457.0,391.0,72.0,4.0,10.3,36.0,0.14,PhD,Self-employed,Married,No,Yes,Business,No,1.0
79717,DLI0SV80CQ,38.0,20914.0,167760.0,394.0,16.0,2.0,15.03,12.0,0.43,High School,Full-time,Married,No,Yes,Business,No,1.0
79723,BBXRH2QYZL,62.0,15192.0,248350.0,319.0,37.0,1.0,9.13,36.0,0.71,PhD,Unemployed,Divorced,Yes,Yes,Auto,Yes,1.0
79759,45BYMFBJDN,21.0,98586.0,34029.0,467.0,15.0,1.0,16.03,24.0,0.5,PhD,Full-time,Single,No,Yes,Business,No,1.0
79769,JEIYUL0YR9,25.0,16534.0,187958.0,354.0,2.0,2.0,13.83,12.0,0.67,Bachelor's,Unemployed,Married,No,No,Auto,Yes,1.0
79771,61605RX5LD,30.0,64128.0,245159.0,538.0,47.0,4.0,18.36,12.0,0.18,High School,Unemployed,Divorced,Yes,Yes,Education,No,1.0
79775,0KLCY29FG6,64.0,39434.0,231498.0,412.0,16.0,1.0,13.45,48.0,0.3,High School,Full-time,Married,Yes,No,Education,Yes,1.0
79798,5H10YNJWG5,23.0,56486.0,206894.0,380.0,55.0,4.0,24.53,48.0,0.61,Bachelor's,Full-time,Divorced,Yes,No,Home,No,1.0
79800,CDAGO0GSY1,44.0,85123.0,28089.0,314.0,74.0,2.0,4.03,60.0,0.16,Master's,Unemployed,Divorced,Yes,No,Auto,Yes,1.0
79818,DLS1W8TDP6,60.0,51658.0,241304.0,455.0,63.0,2.0,18.54,48.0,0.36,Bachelor's,Self-employed,Married,No,Yes,Education,No,1.0
79842,0X6QS3U0W3,22.0,64743.0,112550.0,363.0,84.0,4.0,12.75,60.0,0.64,High School,Self-employed,Single,No,Yes,Home,Yes,1.0
79865,Z5Z3AX8P3Z,36.0,35095.0,69666.0,806.0,61.0,2.0,23.25,24.0,0.76,PhD,Unemployed,Married,Yes,No,Other,No,1.0
79869,19ORAB5N75,30.0,45471.0,161928.0,411.0,14.0,2.0,9.04,12.0,0.4,Master's,Self-employed,Divorced,No,Yes,Other,No,1.0
79884,2344SOU3T3,40.0,16923.0,217792.0,657.0,28.0,1.0,20.14,24.0,0.65,Bachelor's,Full-time,Married,Yes,No,Auto,Yes,1.0
79890,BWAKDUCTUX,30.0,108100.0,81612.0,488.0,45.0,1.0,24.72,60.0,0.32,High School,Unemployed,Married,Yes,Yes,Education,Yes,1.0
79909,2RUUWJU5KP,49.0,99056.0,218116.0,515.0,18.0,1.0,18.84,12.0,0.13,Bachelor's,Unemployed,Single,Yes,No,Auto,Yes,1.0
79918,I59897R0XU,28.0,71506.0,235013.0,518.0,115.0,4.0,22.56,12.0,0.22,Bachelor's,Self-employed,Married,Yes,No,Home,No,1.0
79924,LPJBLZDWGU,23.0,76633.0,45735.0,597.0,29.0,3.0,21.05,36.0,0.82,PhD,Self-employed,Single,No,Yes,Other,No,1.0
79930,YSM9OAZBHQ,49.0,124258.0,234731.0,430.0,42.0,1.0,14.11,12.0,0.24,High School,Self-employed,Married,No,No,Business,No,1.0
79937,Y8OMHG8FIM,39.0,38685.0,203554.0,402.0,18.0,4.0,6.31,60.0,0.53,Master's,Unemployed,Single,Yes,No,Auto,Yes,1.0
79940,Y2AP853MTQ,21.0,84346.0,76005.0,659.0,60.0,4.0,6.09,60.0,0.18,Master's,Full-time,Married,Yes,No,Education,Yes,1.0
79953,YO5H5J2CDY,44.0,26919.0,95867.0,442.0,90.0,2.0,11.58,24.0,0.4,Master's,Part-time,Single,Yes,Yes,Auto,No,1.0
79956,MXWOR0AU92,21.0,137630.0,210289.0,459.0,60.0,3.0,21.58,24.0,0.34,Master's,Self-employed,Single,Yes,Yes,Other,Yes,1.0
79987,RRR2SB6XUX,39.0,83998.0,120475.0,632.0,17.0,4.0,5.26,48.0,0.75,High School,Full-time,Married,No,Yes,Business,Yes,1.0
79994,2KEK7ACV34,64.0,124334.0,197142.0,323.0,44.0,2.0,25.0,48.0,0.56,High School,Full-time,Divorced,Yes,Yes,Home,No,1.0
80002,UT8S4DZDRL,35.0,66990.0,209358.0,521.0,102.0,3.0,23.46,48.0,0.6,Master's,Part-time,Divorced,No,No,Other,No,1.0
80009,HU1MEY1HXS,27.0,27631.0,89410.0,513.0,56.0,3.0,20.14,48.0,0.68,Bachelor's,Self-employed,Single,Yes,No,Auto,Yes,1.0
80014,6RGNBELTTS,25.0,43231.0,96240.0,591.0,37.0,2.0,20.27,48.0,0.34,Master's,Part-time,Single,Yes,Yes,Other,Yes,1.0
80017,QHRWYCCKTA,29.0,102015.0,49937.0,389.0,30.0,4.0,24.07,24.0,0.32,High School,Unemployed,Single,No,No,Other,No,1.0
80033,3YB92D4C1D,37.0,17966.0,33000.0,411.0,45.0,2.0,18.68,60.0,0.26,Bachelor's,Self-employed,Divorced,Yes,Yes,Business,Yes,1.0
80036,IUAKCOEORT,30.0,50377.0,127687.0,354.0,17.0,4.0,21.93,60.0,0.43,Bachelor's,Unemployed,Divorced,No,Yes,Auto,No,1.0
80038,W2UBP55G9B,59.0,95744.0,86427.0,822.0,119.0,3.0,4.7,24.0,0.74,Master's,Self-employed,Single,Yes,No,Auto,No,1.0
80039,J7A5I14Z6K,37.0,46661.0,88996.0,705.0,34.0,4.0,6.41,36.0,0.78,Bachelor's,Part-time,Single,No,No,Home,Yes,1.0
80045,HSF1EELXG7,27.0,126775.0,84581.0,665.0,113.0,4.0,24.98,36.0,0.46,PhD,Self-employed,Married,No,No,Auto,Yes,1.0
80050,L1IROJP5RQ,45.0,70221.0,173019.0,527.0,35.0,2.0,8.87,36.0,0.33,Bachelor's,Unemployed,Married,No,No,Home,No,1.0
80072,XDJY6TNI5O,29.0,133694.0,223349.0,440.0,1.0,4.0,20.81,48.0,0.36,PhD,Full-time,Single,Yes,No,Auto,No,1.0
80091,HZ9PE3Z1K3,21.0,107309.0,207179.0,529.0,9.0,2.0,7.41,24.0,0.34,High School,Full-time,Divorced,No,Yes,Education,No,1.0
80101,PYSH5QX3VG,25.0,123187.0,233845.0,511.0,75.0,3.0,20.88,48.0,0.72,PhD,Unemployed,Single,Yes,No,Business,No,1.0
80106,OQWE2F0UZ3,27.0,16097.0,52848.0,387.0,42.0,4.0,8.54,12.0,0.52,Bachelor's,Self-employed,Married,No,No,Business,Yes,1.0
80116,KN03S5OV35,29.0,42591.0,228262.0,728.0,35.0,2.0,6.72,60.0,0.18,High School,Self-employed,Single,Yes,No,Auto,No,1.0
80132,H12HKQKGZB,38.0,23688.0,186502.0,828.0,53.0,4.0,12.71,48.0,0.8,High School,Unemployed,Single,No,Yes,Home,No,1.0
80156,019E0GXR9G,41.0,88336.0,226545.0,484.0,15.0,2.0,21.36,60.0,0.18,Bachelor's,Part-time,Married,Yes,Yes,Other,No,1.0
80161,UM5LYWEI0B,19.0,144661.0,49229.0,589.0,20.0,1.0,14.63,12.0,0.59,PhD,Full-time,Divorced,No,Yes,Business,No,1.0
80170,2MJV6L88WE,47.0,141038.0,133981.0,320.0,61.0,4.0,15.84,60.0,0.1,Bachelor's,Full-time,Divorced,No,No,Education,No,1.0
80173,CFC66IK4H7,65.0,89225.0,240340.0,623.0,1.0,4.0,19.78,48.0,0.11,Master's,Full-time,Divorced,No,No,Other,Yes,1.0
80181,H9KOIH035X,26.0,116136.0,65906.0,430.0,37.0,3.0,3.18,12.0,0.21,Master's,Unemployed,Divorced,No,No,Education,Yes,1.0
80190,1FY5T69BS5,32.0,32006.0,106603.0,365.0,54.0,2.0,14.29,12.0,0.2,Master's,Full-time,Married,No,No,Business,Yes,1.0
80201,YMSOPV0K8W,28.0,45880.0,226745.0,609.0,51.0,1.0,24.63,36.0,0.37,High School,Self-employed,Divorced,No,Yes,Auto,No,1.0
80213,AD8MEPRLAJ,33.0,108334.0,93321.0,476.0,78.0,3.0,23.33,12.0,0.67,Bachelor's,Unemployed,Divorced,No,Yes,Other,Yes,1.0
80220,SJMGW06V7A,32.0,109452.0,135029.0,371.0,80.0,1.0,12.61,24.0,0.25,PhD,Self-employed,Married,No,No,Home,No,1.0
80232,RIPIB5UHEB,20.0,33473.0,64582.0,619.0,49.0,4.0,5.03,36.0,0.44,PhD,Unemployed,Divorced,Yes,Yes,Auto,Yes,1.0
80238,O19512L0WK,27.0,66794.0,151437.0,339.0,14.0,1.0,7.82,60.0,0.28,High School,Self-employed,Divorced,No,No,Business,Yes,1.0
80245,RGA714AT7P,34.0,17149.0,146700.0,345.0,0.0,1.0,22.57,24.0,0.29,PhD,Self-employed,Married,Yes,No,Auto,No,1.0
80250,FEA9IO2LP5,62.0,115018.0,138569.0,691.0,30.0,4.0,11.99,60.0,0.82,PhD,Full-time,Married,Yes,Yes,Education,No,1.0
80256,W36MJU17ER,45.0,58896.0,29706.0,511.0,69.0,2.0,24.01,48.0,0.29,Bachelor's,Part-time,Divorced,Yes,Yes,Education,Yes,1.0
80260,AR0DV7207I,42.0,98127.0,200610.0,430.0,113.0,2.0,19.4,12.0,0.19,PhD,Unemployed,Divorced,Yes,Yes,Home,No,1.0
80261,8CWSPLLLLA,25.0,131710.0,174134.0,737.0,3.0,1.0,17.92,48.0,0.58,Bachelor's,Self-employed,Married,No,Yes,Home,No,1.0
80267,WQ0XH9BIFW,19.0,149650.0,211689.0,636.0,70.0,1.0,22.68,60.0,0.87,Bachelor's,Self-employed,Single,No,No,Business,No,1.0
80273,R4KFNPS4C4,26.0,98767.0,188092.0,716.0,112.0,3.0,14.74,36.0,0.64,Bachelor's,Full-time,Single,No,Yes,Auto,No,1.0
80278,FMZMI4DHEU,33.0,29382.0,164498.0,808.0,38.0,4.0,10.21,36.0,0.38,Bachelor's,Full-time,Divorced,No,No,Other,No,1.0
80288,HGI29825S7,47.0,16153.0,221138.0,473.0,24.0,1.0,18.53,60.0,0.83,Master's,Self-employed,Divorced,No,Yes,Auto,No,1.0
80297,BDQ1X2JCLM,22.0,28399.0,196934.0,543.0,80.0,4.0,13.64,12.0,0.55,High School,Unemployed,Divorced,No,Yes,Education,No,1.0
80298,3NIHU9GZYB,48.0,15199.0,52288.0,339.0,101.0,2.0,24.95,12.0,0.62,High School,Unemployed,Divorced,Yes,No,Auto,Yes,1.0
80309,CL94YIGZXA,35.0,17296.0,155193.0,594.0,90.0,1.0,22.11,36.0,0.18,High School,Self-employed,Married,Yes,No,Other,No,1.0
80327,BTQTK90QWE,19.0,51196.0,13884.0,832.0,62.0,4.0,23.89,36.0,0.51,High School,Full-time,Divorced,No,Yes,Other,Yes,1.0
80337,55YMWUXYAJ,21.0,122256.0,215759.0,488.0,22.0,4.0,22.47,48.0,0.58,PhD,Self-employed,Divorced,No,Yes,Auto,No,1.0
80340,USWLINTSHJ,20.0,57410.0,102067.0,809.0,39.0,3.0,16.42,48.0,0.48,Bachelor's,Full-time,Married,Yes,Yes,Auto,Yes,1.0
80360,ZKIFCIKYO5,19.0,115410.0,228277.0,830.0,18.0,4.0,12.59,48.0,0.46,High School,Self-employed,Married,Yes,No,Education,Yes,1.0
80362,78OVY30QL4,30.0,62487.0,88850.0,506.0,119.0,2.0,6.47,60.0,0.21,Master's,Part-time,Divorced,No,Yes,Other,No,1.0
80373,EHU13ILH09,56.0,131833.0,6667.0,369.0,24.0,2.0,23.28,36.0,0.4,Bachelor's,Self-employed,Single,No,No,Business,Yes,1.0
80381,9IZ13RL175,28.0,119725.0,223883.0,839.0,21.0,1.0,18.64,12.0,0.36,Bachelor's,Unemployed,Married,Yes,No,Business,Yes,1.0
80384,A42E2N56Y4,42.0,136554.0,80076.0,498.0,66.0,4.0,14.62,36.0,0.41,PhD,Self-employed,Divorced,No,Yes,Auto,No,1.0
80388,SQDGBPNN8Y,64.0,138491.0,154960.0,533.0,23.0,4.0,3.74,60.0,0.67,Master's,Part-time,Married,No,No,Other,Yes,1.0
80409,YOZ6OU94FH,61.0,149551.0,105299.0,721.0,10.0,2.0,24.72,60.0,0.25,High School,Self-employed,Divorced,No,Yes,Auto,Yes,1.0
80426,BV5AR8EZP1,23.0,82462.0,77728.0,415.0,67.0,1.0,16.2,60.0,0.39,High School,Unemployed,Divorced,No,No,Home,No,1.0
80428,W1ZAS25LIJ,34.0,48306.0,68853.0,372.0,98.0,3.0,24.45,36.0,0.7,Master's,Part-time,Divorced,Yes,No,Other,Yes,1.0
80435,A748L9AIV0,25.0,118700.0,74198.0,584.0,85.0,3.0,12.36,60.0,0.26,Master's,Self-employed,Divorced,No,No,Education,Yes,1.0
80445,LEZH0HU65R,66.0,139571.0,148224.0,479.0,23.0,1.0,21.07,24.0,0.54,High School,Full-time,Single,Yes,No,Education,Yes,1.0
80450,2IZYWGQ1JW,53.0,74947.0,152216.0,539.0,27.0,4.0,24.12,48.0,0.82,PhD,Unemployed,Divorced,Yes,Yes,Education,No,1.0
80469,N2UFXAT97Y,24.0,26744.0,182926.0,810.0,114.0,2.0,8.28,60.0,0.62,Master's,Full-time,Divorced,No,No,Education,No,1.0
80470,ZIAMZF0QKT,31.0,119736.0,211181.0,307.0,116.0,3.0,7.98,60.0,0.66,Master's,Full-time,Single,Yes,No,Other,Yes,1.0
80485,TYJ9ZU5RPV,26.0,60433.0,219834.0,376.0,56.0,4.0,15.42,48.0,0.8,High School,Full-time,Single,No,No,Auto,Yes,1.0
80489,3B1EET774Q,38.0,15020.0,230051.0,684.0,55.0,2.0,8.62,60.0,0.76,PhD,Self-employed,Married,No,Yes,Auto,Yes,1.0
80491,OU1PN9X4QE,62.0,117949.0,126437.0,406.0,24.0,4.0,10.53,48.0,0.7,High School,Part-time,Divorced,No,Yes,Education,Yes,1.0
80495,JFGJC72FWT,56.0,135289.0,115206.0,407.0,30.0,3.0,10.01,48.0,0.67,High School,Full-time,Married,No,No,Auto,No,1.0
80505,RMR0O9UJ97,19.0,131402.0,14457.0,392.0,70.0,1.0,9.51,60.0,0.13,Master's,Unemployed,Married,Yes,No,Other,Yes,1.0
80518,LEC9NN16IC,52.0,15510.0,230163.0,348.0,82.0,3.0,14.24,12.0,0.46,Master's,Part-time,Single,Yes,No,Other,Yes,1.0
80520,P1J6HFGS07,54.0,24720.0,232527.0,357.0,60.0,2.0,11.3,48.0,0.74,PhD,Part-time,Divorced,No,Yes,Education,No,1.0
80521,VXDQ4AURH6,49.0,35975.0,32785.0,427.0,15.0,4.0,24.74,60.0,0.39,Bachelor's,Full-time,Married,Yes,No,Education,Yes,1.0
80537,0V1K3PT8IS,63.0,148911.0,67348.0,524.0,18.0,4.0,2.69,36.0,0.71,Bachelor's,Part-time,Married,Yes,Yes,Education,Yes,1.0
80539,PD9KT39ITO,49.0,52862.0,227769.0,437.0,2.0,2.0,13.5,48.0,0.35,High School,Full-time,Single,No,Yes,Home,No,1.0
80541,17LNH7JT6S,43.0,71226.0,46217.0,302.0,87.0,3.0,23.94,24.0,0.39,Bachelor's,Part-time,Divorced,Yes,Yes,Home,No,1.0
80546,BKD44SDF2L,23.0,120912.0,145372.0,511.0,110.0,3.0,24.53,48.0,0.73,PhD,Self-employed,Single,No,No,Auto,Yes,1.0
80548,0JXBWG1OV2,29.0,74044.0,106622.0,371.0,74.0,4.0,18.57,36.0,0.84,Bachelor's,Part-time,Single,Yes,Yes,Home,No,1.0
80553,Z3AU71V1WI,20.0,105127.0,71413.0,474.0,20.0,3.0,21.41,48.0,0.78,Master's,Unemployed,Married,Yes,No,Business,No,1.0
80562,CC4RWT9YTQ,28.0,16398.0,139357.0,647.0,60.0,3.0,22.49,12.0,0.63,High School,Self-employed,Divorced,Yes,No,Auto,No,1.0
80569,94IGQ3BHZ4,24.0,108853.0,217334.0,410.0,54.0,3.0,16.23,60.0,0.31,Master's,Full-time,Divorced,No,Yes,Auto,No,1.0
80573,9Y4H1IP4BB,18.0,65085.0,33828.0,394.0,8.0,4.0,10.97,12.0,0.74,Master's,Self-employed,Married,Yes,Yes,Business,Yes,1.0
80589,UQ3384VFST,47.0,18363.0,215157.0,832.0,73.0,2.0,24.87,36.0,0.9,PhD,Unemployed,Divorced,Yes,Yes,Education,No,1.0
80590,JMCP3HEOZ2,26.0,88392.0,185281.0,785.0,12.0,3.0,11.59,36.0,0.47,Master's,Full-time,Single,Yes,Yes,Other,No,1.0
80593,TSOW9YKD1K,53.0,126545.0,70677.0,552.0,61.0,2.0,8.36,48.0,0.48,PhD,Self-employed,Married,No,No,Business,Yes,1.0
80599,JXCCX6GAUH,25.0,16923.0,138591.0,324.0,52.0,1.0,23.21,24.0,0.21,PhD,Self-employed,Divorced,Yes,Yes,Auto,No,1.0
80608,SCCW0GPBIT,56.0,48760.0,220416.0,795.0,53.0,4.0,24.5,24.0,0.31,PhD,Self-employed,Divorced,No,No,Education,Yes,1.0
80615,ANI0CGD1UX,29.0,15580.0,88017.0,844.0,61.0,4.0,20.71,24.0,0.14,Master's,Full-time,Single,No,Yes,Business,No,1.0
80621,PY9PVWKAN4,38.0,73766.0,198612.0,586.0,17.0,1.0,4.71,12.0,0.18,High School,Full-time,Divorced,Yes,Yes,Auto,No,1.0
80632,G4S3JXDKYS,54.0,148571.0,192409.0,530.0,0.0,3.0,15.38,36.0,0.26,High School,Unemployed,Divorced,Yes,No,Other,No,1.0
80634,YN9UHQJCS9,28.0,119078.0,158040.0,745.0,17.0,2.0,24.97,12.0,0.81,PhD,Full-time,Divorced,Yes,Yes,Business,No,1.0
80645,LZ2RC3ESHQ,49.0,63093.0,64408.0,793.0,43.0,2.0,11.56,60.0,0.41,PhD,Unemployed,Single,Yes,Yes,Other,Yes,1.0
80646,TPAPZI54MI,40.0,148393.0,60042.0,691.0,101.0,4.0,21.86,12.0,0.8,Bachelor's,Self-employed,Single,No,No,Education,No,1.0
80668,IINC7L03HR,52.0,65267.0,94791.0,660.0,16.0,3.0,22.65,60.0,0.78,PhD,Unemployed,Married,No,No,Other,Yes,1.0
80674,IHT6UVP2FQ,65.0,67945.0,102732.0,415.0,32.0,2.0,22.09,48.0,0.44,Bachelor's,Self-employed,Single,Yes,No,Auto,No,1.0
80676,7UD3KNPNIJ,36.0,35112.0,113821.0,626.0,53.0,3.0,16.45,36.0,0.12,PhD,Part-time,Married,Yes,No,Business,No,1.0
80678,FPAH6IXWPD,21.0,36007.0,114860.0,371.0,30.0,4.0,4.71,24.0,0.72,High School,Unemployed,Single,No,Yes,Business,Yes,1.0
80704,NVLJPT6RY0,40.0,21670.0,168401.0,353.0,21.0,1.0,21.7,60.0,0.61,Master's,Full-time,Married,No,No,Home,Yes,1.0
80713,KRONB8FCQI,18.0,25178.0,224335.0,742.0,16.0,1.0,23.78,24.0,0.4,Bachelor's,Part-time,Single,Yes,Yes,Business,No,1.0
80749,85LWEPRCCR,49.0,34002.0,166170.0,835.0,97.0,4.0,22.22,24.0,0.78,PhD,Self-employed,Divorced,No,Yes,Other,No,1.0
80751,XA2O6IN0J5,18.0,21574.0,17851.0,590.0,44.0,3.0,8.12,48.0,0.59,Master's,Part-time,Divorced,Yes,No,Auto,No,1.0
80761,HKAD3RPV0R,18.0,120459.0,44666.0,620.0,5.0,2.0,3.47,12.0,0.39,Bachelor's,Full-time,Single,Yes,No,Education,Yes,1.0
80779,U0H0AD3GR6,31.0,26528.0,149639.0,305.0,118.0,2.0,8.81,60.0,0.48,High School,Self-employed,Single,Yes,Yes,Auto,Yes,1.0
80782,286EFR4XAA,23.0,17113.0,185196.0,631.0,60.0,4.0,18.55,60.0,0.15,Master's,Full-time,Divorced,No,No,Other,No,1.0
80794,9D8FANF9V9,44.0,146516.0,226517.0,589.0,4.0,2.0,23.16,24.0,0.29,Master's,Part-time,Divorced,No,Yes,Education,No,1.0
80799,MPEMAPNRJE,67.0,109971.0,61455.0,523.0,81.0,1.0,20.8,12.0,0.58,PhD,Full-time,Married,No,Yes,Other,No,1.0
80810,RVVE462F9Q,49.0,83693.0,165580.0,341.0,93.0,4.0,19.71,24.0,0.37,High School,Unemployed,Divorced,No,Yes,Business,Yes,1.0
80812,OC2ZY6NNK6,36.0,22939.0,5850.0,818.0,8.0,4.0,21.6,12.0,0.77,High School,Self-employed,Married,No,No,Auto,No,1.0
80817,O0RFLEPLMD,40.0,105524.0,247159.0,322.0,37.0,3.0,19.15,48.0,0.22,Bachelor's,Unemployed,Married,Yes,No,Home,No,1.0
80839,46YT27ZN8X,37.0,116511.0,171224.0,606.0,22.0,4.0,9.84,48.0,0.9,Master's,Part-time,Single,No,No,Education,No,1.0
